"id","type","product"
"AA.PRD.DES.CHARGEOFF","H","AA"
"AA.PRD.DES.CLOSURE","H","AA"
"AA.PRD.DES.CONSTRAINT","H","AA"
"AA.PRD.DES.CUSTOMER","H","AA"
"AA.PRD.DES.DORMANCY","H","AA"
"AA.PRD.DES.ELIGIBILITY","H","AA"
"AA.PRD.DES.FACILITY","H","AA"
"AA.PRD.DES.INHERITANCE","H","AA"
"AA.PRD.DES.INTEREST","H","AA"
"AA.PRD.DES.INTEREST.COMPENSATION","H","AB"
"AA.PRD.DES.LD.OTH.COND","H","AA"
"AA.PRD.DES.LIMIT","H","AA"
"AA.PRD.DES.MG.OTH.COND","H","AA"
"AA.PRD.DES.OFFICERS","H","AA"
"AA.PRD.DES.OVERDUE","H","AA"
"AA.PRD.DES.PAYMENT.RULES","H","AA"
"AA.PRD.DES.PAYMENT.SCHEDULE","H","AA"
"AA.PRD.DES.PAYOFF","H","AA"
"AA.PRD.DES.PAYOUT.RULES","H","AA"
"AA.PRD.DES.PERIODIC.CHARGES","H","AA"
"AA.PRD.DES.PREFERENTIAL.PRICING","H","AA"
"AA.PRD.DES.PREFERENTIAL.PRICING.FX","H","AA"
"AA.PRD.DES.PRICING.RULES","H","AA"
"AA.PRD.DES.PRODUCT.ACCESS","H","AA"
"AA.PRD.DES.PRODUCT.BUNDLE","H","AB"
"AA.PRD.DES.PRODUCT.COMMISSION","H","AA"
"AA.PRD.DES.PROTECTION.LIMIT","H","AA"
"AA.PRD.DES.PROXY.PERMISSIONS","H","AP"
"AA.PRD.DES.REPORTING","H","AA"
"AA.PRD.DES.SAFE.DEPOSIT.BOX","H","AA"
"AA.PRD.DES.SETTLEMENT","H","AA"
"AA.PRD.DES.STATEMENT","H","AA"
"AA.PRD.DES.TAX","H","AA"
"AA.PRD.DES.TC.AVAILABILITY","H","AA"
"AA.PRD.DES.TC.PERMISSIONS","H","AO"
"AA.PRD.DES.TC.PRIVILEGES","H","AO"
"AA.PRD.DES.TERM.AMOUNT","H","AA"
"AA.PRD.DES.UI.APPEARANCE","H","AA"
"AA.PRD.DES.UI.BEHAVIOUR","H","AA"
"AA.PRD.DES.USER.RIGHTS","H","AA"
"AA.PRD.DES.XINSURANCE","D","AA"
"AA.PRD.PRF.AC.ACCT.GROUP.CONDN","W","AA"
"AA.PRD.PRF.AC.GENERAL.CHARGE","W","AA"
"AA.PRD.PRF.AC.GROUP.CAP","W","AA"
"AA.PRD.PRF.AC.GROUP.INTEREST","W","AA"
"AA.PRD.PRF.ACCOUNT","W","AA"
"AA.PRD.PRF.ACCOUNTING","W","AA"
"AA.PRD.PRF.ACTIVITY.API","W","AA"
"AA.PRD.PRF.ACTIVITY.CHARGES","W","AA"
"AA.PRD.PRF.ACTIVITY.MAPPING","W","AA"
"AA.PRD.PRF.ACTIVITY.MESSAGING","W","AA"
"AA.PRD.PRF.ACTIVITY.PRESENTATION","W","AA"
"AA.PRD.PRF.ACTIVITY.RESTRICTION","W","AA"
"AA.PRD.PRF.AGENT.COMMISSION","W","AA"
"AA.PRD.PRF.ALERTS","W","AA"
"AA.PRD.PRF.AZ.ACCOUNTING","W","AA"
"AA.PRD.PRF.AZ.CR.CARD","W","AA"
"AA.PRD.PRF.AZ.DEPOSIT","W","AA"
"AA.PRD.PRF.AZ.LOAN","W","AA"
"AA.PRD.PRF.AZ.SAVINGS","W","AA"
"AA.PRD.PRF.BALANCE.AVAILABILITY","W","AA"
"AA.PRD.PRF.BALANCE.MAINTENANCE","W","AA"
"AA.PRD.PRF.BUNDLE.HIERARCHY","W","AA"
"AA.PRD.PRF.CDP.CONSENT","W","CK"
"AA.PRD.PRF.CHANGE.PRODUCT","W","AA"
"AA.PRD.PRF.CHANNEL.ACCESS","W","AA"
"AA.PRD.PRF.CHARGE","W","AA"
"AA.PRD.PRF.CHARGE.OVERRIDE","W","AA"
"AA.PRD.PRF.CHARGEOFF","W","AA"
"AA.PRD.PRF.CLOSURE","W","AA"
"AA.PRD.PRF.CONSTRAINT","W","AA"
"AA.PRD.PRF.CUSTOMER","W","AA"
"AA.PRD.PRF.DORMANCY","W","AA"
"AA.PRD.PRF.ELIGIBILITY","W","AA"
"AA.PRD.PRF.FACILITY","W","AA"
"AA.PRD.PRF.INHERITANCE","W","AA"
"AA.PRD.PRF.INTEREST","W","AA"
"AA.PRD.PRF.INTEREST.COMPENSATION","H","AB"
"AA.PRD.PRF.LD.OTH.COND","W","AA"
"AA.PRD.PRF.LIMIT","W","AA"
"AA.PRD.PRF.MG.OTH.COND","W","AA"
"AA.PRD.PRF.OFFICERS","W","AA"
"AA.PRD.PRF.OVERDUE","W","AA"
"AA.PRD.PRF.PAYMENT.RULES","W","AA"
"AA.PRD.PRF.PAYMENT.SCHEDULE","W","AA"
"AA.PRD.PRF.PAYOFF","W","AA"
"AA.PRD.PRF.PAYOUT.RULES","W","AA"
"AA.PRD.PRF.PERIODIC.CHARGES","W","AA"
"AA.PRD.PRF.PREFERENTIAL.PRICING","W","AA"
"AA.PRD.PRF.PREFERENTIAL.PRICING.FX","W","AA"
"AA.PRD.PRF.PRICING.RULES","W","AA"
"AA.PRD.PRF.PRODUCT.ACCESS","W","AA"
"AA.PRD.PRF.PRODUCT.BUNDLE","W","AB"
"AA.PRD.PRF.PRODUCT.COMMISSION","W","AA"
"AA.PRD.PRF.PROTECTION.LIMIT","W","AA"
"AA.PRD.PRF.PROXY.PERMISSIONS","W","AP"
"AA.PRD.PRF.REPORTING","W","AA"
"AA.PRD.PRF.SAFE.DEPOSIT.BOX","W","AA"
"AA.PRD.PRF.SETTLEMENT","W","AA"
"AA.PRD.PRF.STATEMENT","W","AA"
"AA.PRD.PRF.TAX","W","AA"
"AA.PRD.PRF.TC.AVAILABILITY","W","AA"
"AA.PRD.PRF.TC.PERMISSIONS","W","AO"
"AA.PRD.PRF.TC.PRIVILEGES","W","AO"
"AA.PRD.PRF.TERM.AMOUNT","W","AA"
"AA.PRD.PRF.UI.APPEARANCE","W","AA"
"AA.PRD.PRF.UI.BEHAVIOUR","W","AA"
"AA.PRD.PRF.USER.RIGHTS","W","AA"
"AA.PRD.PRF.XINSURANCE","D","AA"
"AA.PROCESS.DETAILS","L","AA"
"AA.PROCESS.DETAILS.SIM","L","AA"
"AA.PRODUCT","L","AA"
"AA.PRODUCT.CATALOG","H","AA"
"AA.PRODUCT.CHILDREN","T","AA"
"AA.PRODUCT.CONDITION","H","AA"
"AA.PRODUCT.DESIGNER","H","AA"
"AA.PRODUCT.GROUP","H","AA"
"AA.PRODUCT.LINE","H","AA"
"AA.PRODUCT.LINK","H","AA"
"AA.PRODUCT.MANAGER","H","AA"
"AA.PRODUCT.PROOF","H","AA"
"AA.PRODUCT.TRACKER.CATALOG","L","AA"
"AA.PRODUCT.TRACKER.PROOF","L","AA"
"AA.PROPERTY","H","AA"
"AA.PROPERTY.CLASS","H","AA"
"AA.PROPERTY.CLASS.ACTION","H","AA"
"AA.PROXY.SERVICES.NEXT.ACTIVITY","L","AP"
"AA.PURPOSE","H","AA"
"AA.PURPOSE.PRODUCTS","T","AA"
"AA.PURPOSE.TYPE","L","AA"
"AA.QUOTATION.CLASS","H","AA"
"AA.QUOTATION.OUTPUT","L","AA"
"AA.QUOTATION.REQUEST","H","AA"
"AA.QUOTATION.TYPE","L","AA"
"AA.QUOTATION.TYPE.CATALOG","H","AA"
"AA.REFERENCE.DETAILS","L","AA"
"AA.RELATIONSHIP.PRICING.NEXT.ACTIVITY","L","PR"
"AA.RETAIL.LENDING.HP","D","AA"
"AA.RR.SERVICE.LIST","L","AA"
"AA.RR.SERVICE.LIST.HIST","L","AA"
"AA.SCHEDULE.DETAILS","L","AA"
"AA.SCHEDULED.ACTIVITY","L","AA"
"AA.SDB.BOX","H","BX"
"AA.SDB.BOX.ENTRY","H","BX"
"AA.SIM.ACCOUNT","H","AA"
"AA.SIM.ACCOUNTING","H","AA"
"AA.SIM.ACTIVITY.API","H","AA"
"AA.SIM.ACTIVITY.CHARGES","H","AA"
"AA.SIM.ACTIVITY.MAPPING","H","AA"
"AA.SIM.ACTIVITY.MESSAGING","H","AA"
"AA.SIM.ACTIVITY.PRESENTATION","H","AA"
"AA.SIM.ACTIVITY.RESTRICTION","H","AA"
"AA.SIM.AGENT.COMMISSION","H","AA"
"AA.SIM.ALERTS","H","AA"
"AA.SIM.BALANCE.AVAILABILITY","H","AA"
"AA.SIM.BALANCE.MAINTENANCE","H","AA"
"AA.SIM.BUNDLE.HIERARCHY","H","AA"
"AA.SIM.CDP.CONSENT","H","CK"
"AA.SIM.CHANGE.PRODUCT","H","AA"
"AA.SIM.CHANNEL.ACCESS","H","AA"
"AA.SIM.CHARGE","H","AA"
"AA.SIM.CHARGE.OVERRIDE","H","AA"
"AA.SIM.CHARGEOFF","H","AA"
"AA.SIM.CLOSURE","H","AA"
"AA.SIM.CONSTRAINT","H","AA"
"AA.SIM.CUSTOMER","H","AA"
"AA.SIM.DORMANCY","H","AA"
"AA.SIM.ELIGIBILITY","H","AA"
"AA.SIM.FACILITY","H","AA"
"AA.SIM.INHERITANCE","H","AA"
"AA.SIM.INTEREST","H","AA"
"AA.SIM.INTEREST.COMPENSATION","H","AB"
"AA.SIM.LIMIT","H","AA"
"AA.SIM.OFFICERS","H","AA"
"AA.SIM.OVERDUE","H","AA"
"AA.SIM.PAYMENT.HOLIDAY","H","AA"
"AA.SIM.PAYMENT.RULES","H","AA"
"AA.SIM.PAYMENT.SCHEDULE","H","AA"
"AA.SIM.PAYOFF","H","AA"
"AA.SIM.PAYOUT.RULES","H","AA"
"AA.SIM.PERIODIC.CHARGES","H","AA"
"AA.SIM.PREFERENTIAL.PRICING","H","AA"
"AA.SIM.PREFERENTIAL.PRICING.FX","H","AA"
"AA.SIM.PRICING.RULES","H","AA"
"AA.SIM.PRODUCT.BUNDLE","H","AB"
"AA.SIM.PRODUCT.COMMISSION","H","AA"
"AA.SIM.REPORTING","H","AA"
"AA.SIM.SAFE.DEPOSIT.BOX","H","AA"
"AA.SIM.SETTLEMENT","H","AA"
"AA.SIM.STATEMENT","H","AA"
"AA.SIM.TAX","H","AA"
"AA.SIM.TERM.AMOUNT","H","AA"
"AA.SIM.XINSURANCE","D","AA"
"AA.SIMULATION.CAPTURE","H","AA"
"AA.SIMULATION.COMPARISON","D","AA"
"AA.SIMULATION.RUNNER","H","AA"
"AA.SIMULATION.TYPE","H","AA"
"AA.SOURCE.CALC.TYPE","H","AA"
"AA.STANDARD.FIELD.TYPE","H","AA"
"AA.STANDARD.FIELDS.CONVERSION","W","AA"
"AA.X.MB.ENQUIRY.SOFT.MAPPING","D","AA"
"ABBREVIATION","U","EB"
"AC.ACC.OPENING","D","AC"
"AC.ACCOUNT.LINK","H","RS"
"AC.ACCOUNT.LINK.CONCAT","T","RS"
"AC.ACCOUNT.LINK.ERROR","L","RS"
"AC.ACCOUNT.OPENING","D","AC"
"AC.ACCOUNT.OPENING.PRINT","D","AC"
"AC.ACCOUNT.SWEEP.ERROR","L","ST"
"AC.ACCOUNT.SWEEP.HIST","L","ST"
"AC.ALLOCATION.RULE","H","AC"
"AC.APPLICATION.LINK","H","AC"
"AC.AUTO.ACCOUNT","H","AC"
"AC.AUTO.PAY.TODAY","T","AC"
"AC.AUTO.PAY.TRANS","T","AC"
"AC.AUTO.SWEEP.SCHD","L","PO"
"AC.BALANCE.TYPE","H","AC"
"AC.BLOCK.CLOSURE","H","AC"
"AC.CASH.POOL","H","PO"
"AC.CASH.POOL.LINK","L","PO"
"AC.CCY.CONVERSION","H","EU"
"AC.CHARGE.REQUEST","H","FT"
"AC.COLLATERAL","L","CO"
"AC.COLLATERAL.RIGHT","T","CO"
"AC.COMP.VD.ENTRY","L","AC"
"AC.CONSOLIDATE.COND","H","AC"
"AC.CP.GROUP.PARAM","H","PO"
"AC.ENRICHMENT","U","AC"
"AC.ENTRY.PARAM","H","FT"
"AC.EVENT","H","AC"
"AC.EXPECTED.RECS","H","AC"
"AC.FUNDS.AUTHORISATION","H","AC"
"AC.FWD.UNAU.ENTRY","T","AC"
"AC.FWD.UNAU.TRANSACTION","T","AC"
"AC.GROUP.CASH.POOL","T","PO"
"AC.GROUP.CP.LIST","L","PO"
"AC.HVT.PARAMETER","H","AC"
"AC.HVT.TRIGGER","L","AC"
"AC.INWARD.ENTRY","L","FT"
"AC.INWARD.ENTRY.XREF","T","FT"
"AC.LOCKED.EVENTS","H","AC"
"AC.MASS.BLOCK.EXCLUSION","U","AC"
"AC.NOSTRO.BALANCES","O","OB"
"AC.NOSTRO.STMT","W","ST"
"AC.ONE.STOP.ACCT.OPEN","D","AC"
"AC.PENDING","H","IC"
"AC.POSTING.DETAIL","H","AC"
"AC.PRE.CLOSURE.DETAILS","W","AC"
"AC.PRINT.MASK","H","ST"
"AC.REBUILD.EXPOSURE","H","AC"
"AC.SHARED.ACCOUNT","L","PO"
"AC.STMT.CONT","R","EB"
"AC.STMT.HANDOFF","H","ST"
"AC.STMT.PARAMETER","H","ST"
"AC.STMT.SERVICE.DETAIL","L","ST"
"AC.SUB.ACCOUNT","T","AC"
"AC.SWEEP.BAL.WORK","L","PO"
"AC.SWEEP.TYPE","H","ST"
"AC.SYS.CODES","H","AC"
"AC.UNAUTH.ENTRY","T","AC"
"AC.UNAUTH.TRANSACTION","T","AC"
"AC.VIOLATION","H","IC"
"AC.VIOLATION.HIST","L","IC"
"AC.XML.INTERIM.STMT.HIST","L","IX"
"AC.XML.STMT.DATA","L","IX"
"AC.XML.STMT.EXCEPTION","H","IX"
"ACCOUNT","H","AC"
"ACCOUNT.ACCRUAL","U","IC"
"ACCOUNT.AUDIT","L","AC"
"ACCOUNT.BGC.INFO","H","FT"
"ACCOUNT.CHARGE","T","IC"
"ACCOUNT.CLASS","H","AC"
"ACCOUNT.CLOSED","L","AC"
"ACCOUNT.CLOSURE","U","AC"
"ACCOUNT.CLOSURE.PARAM","H","AC"
"ACCOUNT.COMPENSATION","T","IC"
"ACCOUNT.CREDIT.INT","H","IC"
"ACCOUNT.DEBIT.INT","H","IC"
"ACCOUNT.DEBIT.LIMIT","H","IC"
"ACCOUNT.EXPOSURE","T","AC"
"ACCOUNT.GEN.CHG","L","IC"
"ACCOUNT.INCOMING.FT","T","OB"
"ACCOUNT.INFO","O","AC"
"ACCOUNT.LIQUIDATION","T","AC"
"ACCOUNT.OVERDRAWN","L","AC"
"ACCOUNT.OVERDRAWN.HIST","L","AC"
"ACCOUNT.PARAMETER","H","AC"
"ACCOUNT.REFER","T","AC"
"ACCOUNT.STATEMENT","H","ST"
"ACCOUNTING.REFER","L","AC"
"ACCR.ACCT.CH","L","IC"
"ACCR.ACCT.CR","L","IC"
"ACCR.ACCT.CR2","L","IC"
