"object","property","value"
"AA.ACCOUNT.DETAILS>PENDING.ADJUSTMENT.DATE",,
"AA.ACCOUNT.DETAILS.HIST>@ID",,
"AA.ACCOUNT.DETAILS.HIST>CONTRACT.DATE",,
"AA.ACCOUNT.DETAILS.HIST>VALUE.DATE",,
"AA.ACCOUNT.DETAILS.HIST>START.DATE",,
"AA.ACCOUNT.DETAILS.HIST>DRAWDOWN.END.DATE",,
"AA.ACCOUNT.DETAILS.HIST>PAYMENT.START.DATE",,
"AA.ACCOUNT.DETAILS.HIST>MATURITY.DATE",,
"AA.ACCOUNT.DETAILS.HIST>ARR.AGE.STATUS",,
"AA.ACCOUNT.DETAILS.HIST>RENEWAL.DATE",,
"AA.ACCOUNT.DETAILS.HIST>COOLING.DATE",,
"AA.ACCOUNT.DETAILS.HIST>CANCEL.DATE",,
"AA.ACCOUNT.DETAILS.HIST>BASE.DATE",,
"AA.ACCOUNT.DETAILS.HIST>BILL.PAY.DATE",,
"AA.ACCOUNT.DETAILS.HIST>BILL.ID",,
"AA.ACCOUNT.DETAILS.HIST>ACTIVITY.REF",,
"AA.ACCOUNT.DETAILS.HIST>BILL.DATE",,
"AA.ACCOUNT.DETAILS.HIST>DEFER.DATE",,
"AA.ACCOUNT.DETAILS.HIST>BILL.TYPE",,
"AA.ACCOUNT.DETAILS.HIST>PAY.METHOD",,
"AA.ACCOUNT.DETAILS.HIST>BILL.STATUS",,
"AA.ACCOUNT.DETAILS.HIST>SET.STATUS",,
"AA.ACCOUNT.DETAILS.HIST>AGING.STATUS",,
"AA.ACCOUNT.DETAILS.HIST>NXT.AGE.DATE",,
"AA.ACCOUNT.DETAILS.HIST>CHASER.DATE",,
"AA.ACCOUNT.DETAILS.HIST>ALL.AGE.STATUS",,
"AA.ACCOUNT.DETAILS.HIST>SUSPENDED",,
"AA.ACCOUNT.DETAILS.HIST>REPORT.END.DATE",,
"AA.ACCOUNT.DETAILS.HIST>SCHEDULE.TYPE",,
"AA.ACCOUNT.DETAILS.HIST>NUM.PAYMENTS",,
"AA.ACCOUNT.DETAILS.HIST>PAYMENT.DATE",,
"AA.ACCOUNT.DETAILS.HIST>ACT.PAY.DATE",,
"AA.ACCOUNT.DETAILS.HIST>FIN.PAY.DATE",,
"AA.ACCOUNT.DETAILS.HIST>INTERIM.DATE",,
"AA.ACCOUNT.DETAILS.HIST>REPAY.REFERENCE",,
"AA.ACCOUNT.DETAILS.HIST>RPY.BILL.ID",,
"AA.ACCOUNT.DETAILS.HIST>RPY.BILL.ID.BANK",,
"AA.ACCOUNT.DETAILS.HIST>SUSP.STATUS",,
"AA.ACCOUNT.DETAILS.HIST>SUSP.DATE",,
"AA.ACCOUNT.DETAILS.HIST>LAST.RENEW.DATE",,
"AA.ACCOUNT.DETAILS.HIST>PAYMENT.END.DATE",,
"AA.ACCOUNT.DETAILS.HIST>BILLS.SETTLED.CNT",,
"AA.ACCOUNT.DETAILS.HIST>STATIC.UPDATE",,
"AA.ACCOUNT.DETAILS.HIST>RPY.REFERENCE",,
"AA.ACCOUNT.DETAILS.HIST>RPY.ACTUAL.DATE",,
"AA.ACCOUNT.DETAILS.HIST>WOF.ACTIVITY.REF",,
"AA.ACCOUNT.DETAILS.HIST>WOF.BILL.REF",,
"AA.ACCOUNT.DETAILS.HIST>WOF.PROPERTY",,
"AA.ACCOUNT.DETAILS.HIST>WOF.BALANCE.NAME",,
"AA.ACCOUNT.DETAILS.HIST>WOF.AMOUNT",,
"AA.ACCOUNT.DETAILS.HIST>CHARGEOFF.DATE",,
"AA.ACCOUNT.DETAILS.HIST>CHARGEOFF.REFERENCE",,
"AA.ACCOUNT.DETAILS.HIST>CHARGEOFF.BILL.ID",,
"AA.ACCOUNT.DETAILS.HIST>OVERDRAFT.STATUS",,
"AA.ACCOUNT.DETAILS.HIST>PRIMARY.OD.DATE",,
"AA.ACCOUNT.DETAILS.HIST>ACTUAL.RENEW.DATE",,
"AA.ACCOUNT.DETAILS.HIST>HOL.PAYMENT.TYPE",,
"AA.ACCOUNT.DETAILS.HIST>HOL.START.DATE",,
"AA.ACCOUNT.DETAILS.HIST>HOLIDAY.DATE",,
"AA.ACCOUNT.DETAILS.HIST>ONLINE.CAPITALISE",,
"AA.ACCOUNT.DETAILS.HIST>ARR.DORMANCY.STATUS",,
"AA.ACCOUNT.DETAILS.HIST>DORMANCY.STATUS",,
"AA.ACCOUNT.DETAILS.HIST>DORMANCY.DATE",,
"AA.ACCOUNT.DETAILS.HIST>DORMANCY.PROCESS",,
"AA.ACCOUNT.DETAILS.HIST>INT.STATEMENT.TYPE",,
"AA.ACCOUNT.DETAILS.HIST>LAST.STATEMENT.DATE",,
"AA.ACCOUNT.DETAILS.HIST>HOL.BILL.TYPE",,
"AA.ACCOUNT.DETAILS.HIST>HOL.NEW.PAYMENT.AMOUNT",,
"AA.ACCOUNT.DETAILS.HIST>ORG.PAYMENT.AMOUNT",,
"AA.ACCOUNT.DETAILS.HIST>EXPIRY.DATE",,
"AA.ACCOUNT.DETAILS.HIST>PENDING.ADJUSTMENT.DATE",,
"AA.ACCOUNT.MOVEMENT>@ID",,
"AA.ACCOUNT.MOVEMENT>BALANCE.TYPE",,
"AA.ACCOUNT.MOVEMENT>NAU.VALUE.DATE",,
"AA.ACCOUNT.MOVEMENT>NAU.MOVEMENT",,
"AA.ACCOUNT.MOVEMENT>NAU.CR.MOVEMENT",,
"AA.ACCOUNT.MOVEMENT>NAU.DR.MOVEMENT",,
"AA.ACCOUNT.MOVEMENT>FWD.VALUE.DATE",,
"AA.ACCOUNT.MOVEMENT>FWD.MOVEMENT",,
"AA.ACCOUNT.MOVEMENT>FWD.CR.MOVEMENT",,
"AA.ACCOUNT.MOVEMENT>FWD.DR.MOVEMENT",,
"AA.ACCOUNT.MOVEMENT>ARR.ACTIVITY.ID",,
"AA.ACCOUNT.MOVEMENT>ACT.BAL.TYPE",,
"AA.ACCOUNT.MOVEMENT>ACT.NAU.MVMT",,
"AA.ACCOUNT.MOVEMENT>ACT.NAU.CR.MVMT",,
"AA.ACCOUNT.MOVEMENT>ACT.NAU.DR.MVMT",,
"AA.ACCOUNT.MOVEMENT>ACT.FWD.MVMT",,
"AA.ACCOUNT.MOVEMENT>ACT.FWD.CR.MVMT",,
"AA.ACCOUNT.MOVEMENT>ACT.FWD.DR.MVMT",,
"AA.ACCRUAL.FREQUENCY>@ID",,
"AA.ACCRUAL.FREQUENCY>DEFAULT.LCY",,
"AA.ACCRUAL.FREQUENCY>DEFAULT.FCY",,
"AA.ACCRUAL.FREQUENCY>PROPERTY|AA.PROPERTY","type","strong"
"AA.ACCRUAL.FREQUENCY>PROPERTY.LCY",,
"AA.ACCRUAL.FREQUENCY>PROPERTY.FCY",,
"AA.ACCRUAL.FREQUENCY>PRODUCT|AA.PRODUCT","type","strong"
"AA.ACCRUAL.FREQUENCY>PROD.PROP|AA.PROPERTY","type","strong"
"AA.ACCRUAL.FREQUENCY>PRD.PROP.LCY",,
"AA.ACCRUAL.FREQUENCY>PRD.PROP.FCY",,
"AA.ACCRUAL.FREQUENCY>DEFAULT.OL.ACCRUAL",,
"AA.ACCRUAL.FREQUENCY>PROPERTY.OL.ACCRUAL",,
"AA.ACCRUAL.FREQUENCY>PROD.PROP.OL.ACCRUAL",,
"AA.ACCRUAL.FREQUENCY>FORCED.TO.SOD",,
"AA.ACTIVITY>@ID",,
"AA.ACTIVITY>DESCRIPTION",,
"AA.ACTIVITY>FULL.DESC",,
"AA.ACTIVITY>LINKED.ACTIVITY|AA.ACTIVITY","type","strong"
"AA.ACTIVITY>SYSTEM.ACTIVITY",,
"AA.ACTIVITY>PRODUCT.LINE|AA.PRODUCT.LINE","type","strong"
"AA.ACTIVITY>PROCESS.ID",,
"AA.ACTIVITY>PROPERTY",,
"AA.ACTIVITY>ATTRIBUTE",,
"AA.ACTIVITY>PROPERTY.CLASS",,
"AA.ACTIVITY>ARRANGEMENT",,
"AA.ACTIVITY>RELATED.ACTIVITY|AA.ACTIVITY","type","strong"
"AA.ACTIVITY>ACTIVITY.TYPE",,
"AA.ACTIVITY.BALANCES>@ID",,
"AA.ACTIVITY.BALANCES>CURRENCY|CURRENCY","type","strong"
"AA.ACTIVITY.BALANCES>ACTIVITY.REF",,
"AA.ACTIVITY.BALANCES>ACTIVITY",,
"AA.ACTIVITY.BALANCES>ACTIVITY.DATE",,
"AA.ACTIVITY.BALANCES>PROPERTY",,
"AA.ACTIVITY.BALANCES>PROPERTY.AMT",,
"AA.ACTIVITY.BALANCES>BILL.REF",,
"AA.ACTIVITY.BALANCES>LAST.UPDATE.DATE",,
"AA.ACTIVITY.BALANCES>DELIN.REPAY.REF",,
"AA.ACTIVITY.BALANCES>DELIN.REPAY.AMT",,
"AA.ACTIVITY.BALANCES>DELIN.TOT.AMT",,
"AA.ACTIVITY.CLASS>@ID",,
"AA.ACTIVITY.CLASS>DESCRIPTION",,
"AA.ACTIVITY.CLASS>FULL.DESC",,
"AA.ACTIVITY.CLASS>ATTRIBUTE",,
"AA.ACTIVITY.CLASS>ACTIVITY.TYPE",,
"AA.ACTIVITY.CLASS>BATCH.NAME|BATCH.NEW.COMPANY","type","strong"
"AA.ACTIVITY.CLASS>BATCH.SEQ",,
"AA.ACTIVITY.CLASS>PROPERTY.CLASS|AA.PROPERTY.CLASS","type","strong"
"AA.ACTIVITY.CLASS>USER.INPUT",,
"AA.ACTIVITY.CLASS>ACTION",,
"AA.ACTIVITY.CLASS>PRODUCT.LINE",,
"AA.ACTIVITY.CLASS>PROCESS.ID",,
"AA.ACTIVITY.CLASS>CLASS.ID",,
"AA.ACTIVITY.CLASS>USED.PROPCLASS|AA.PROPERTY.CLASS","type","strong"
"AA.ACTIVITY.CLASS>USED.FIELD",,
"AA.ACTIVITY.CLASS>CAN.PROP.CLASS|AA.PROPERTY.CLASS","type","strong"
"AA.ACTIVITY.CLASS>CAN.USER.INP",,
"AA.ACTIVITY.CLASS>CAN.ACTION",,
"AA.ACTIVITY.CLASS>RELATED.ACT.CLASS|AA.ACTIVITY.CLASS","type","strong"
"AA.ACTIVITY.CLASS>ALERT.EVENT.TYPE|EB.EVENT.TYPE","type","strong"
"AA.ACTIVITY.HISTORY>@ID",,
"AA.ACTIVITY.HISTORY>EFFECTIVE.DATE",,
"AA.ACTIVITY.HISTORY>ACTIVITY.REF",,
"AA.ACTIVITY.HISTORY>ACTIVITY|AA.ACTIVITY","type","strong"
"AA.ACTIVITY.HISTORY>SYSTEM.DATE",,
"AA.ACTIVITY.HISTORY>ACTIVITY.AMT",,
"AA.ACTIVITY.HISTORY>ACT.STATUS",,
"AA.ACTIVITY.HISTORY>INITIATION",,
"AA.ACTIVITY.HISTORY>ACT.DATE",,
"AA.ACTIVITY.HISTORY>LAST.HIST.COUNT",,
"AA.ACTIVITY.HISTORY>LAST.EFF.DATE",,
"AA.ACTIVITY.HISTORY>ARC.ID",,
"AA.ACTIVITY.HISTORY>ARC.DATE.TILL",,
"AA.ACTIVITY.HISTORY>AGENT.EVENT.REF",,
"AA.ACTIVITY.HISTORY>AGENT.EVENT.STATUS",,
"AA.ACTIVITY.HISTORY>CONTRACT.ID",,
"AA.ACTIVITY.HISTORY>REF.ACTIVITY.REF",,
"AA.ACTIVITY.HISTORY>BILL.ID",,
"AA.ACTIVITY.HISTORY>DD.REF.ID",,
"AA.ACTIVITY.HISTORY>TRANS.REF",,
"AA.ACTIVITY.HISTORY>AAA.ID",,
"AA.ACTIVITY.HISTORY>TRANSACTION.INITIATION",,
"AA.ACTIVITY.HISTORY>TRANS.INFO",,
"AA.ACTIVITY.HISTORY>SETTLEMENT.ARR.INFO",,
"AA.ACTIVITY.HISTORY>PAY.ORDER.REF",,
"AA.ACTIVITY.HISTORY>ACTIVITY.CON.REF",,
"AA.ACTIVITY.HISTORY>DAILY.CUMULATIVE",,
"AA.ACTIVITY.HISTORY>TOT.CUMULATIVE",,
"AA.ACTIVITY.HISTORY>USED.CONTEXT.TYPE",,
"AA.ACTIVITY.HISTORY.HIST>@ID",,
"AA.ACTIVITY.HISTORY.HIST>EFFECTIVE.DATE",,
"AA.ACTIVITY.HISTORY.HIST>ACTIVITY.REF",,
"AA.ACTIVITY.HISTORY.HIST>ACTIVITY|AA.ACTIVITY","type","strong"
"AA.ACTIVITY.HISTORY.HIST>SYSTEM.DATE",,
"AA.ACTIVITY.HISTORY.HIST>ACTIVITY.AMT",,
"AA.ACTIVITY.HISTORY.HIST>ACT.STATUS",,
"AA.ACTIVITY.HISTORY.HIST>INITIATION",,
"AA.ACTIVITY.HISTORY.HIST>ACT.DATE",,
"AA.ACTIVITY.HISTORY.HIST>LAST.HIST.COUNT",,
"AA.ACTIVITY.HISTORY.HIST>LAST.EFF.DATE",,
"AA.ACTIVITY.HISTORY.HIST>ARC.ID",,
"AA.ACTIVITY.HISTORY.HIST>ARC.DATE.TILL",,
"AA.ACTIVITY.HISTORY.HIST>AGENT.EVENT.REF",,
"AA.ACTIVITY.HISTORY.HIST>AGENT.EVENT.STATUS",,
"AA.ACTIVITY.HISTORY.HIST>CONTRACT.ID",,
"AA.ACTIVITY.HISTORY.HIST>REF.ACTIVITY.REF",,
"AA.ACTIVITY.HISTORY.HIST>BILL.ID",,
"AA.ACTIVITY.HISTORY.HIST>DD.REF.ID",,
"AA.ACTIVITY.HISTORY.HIST>TRANS.REF",,
"AA.ACTIVITY.HISTORY.HIST>AAA.ID",,
"AA.ACTIVITY.HISTORY.HIST>TRANSACTION.INITIATION",,
"AA.ACTIVITY.HISTORY.HIST>TRANS.INFO",,
"AA.ACTIVITY.HISTORY.HIST>SETTLEMENT.ARR.INFO",,
"AA.ACTIVITY.HISTORY.HIST>PAY.ORDER.REF",,
"AA.ACTIVITY.HISTORY.HIST>ACTIVITY.CON.REF",,
"AA.ACTIVITY.HISTORY.HIST>DAILY.CUMULATIVE",,
"AA.ACTIVITY.HISTORY.HIST>TOT.CUMULATIVE",,
"AA.ACTIVITY.HISTORY.HIST>USED.CONTEXT.TYPE",,
"AA.ACTIVITY.HISTORY.SIM>@ID",,
"AA.ACTIVITY.HISTORY.SIM>EFFECTIVE.DATE",,
"AA.ACTIVITY.HISTORY.SIM>ACTIVITY.REF",,
"AA.ACTIVITY.HISTORY.SIM>ACTIVITY|AA.ACTIVITY","type","strong"
"AA.ACTIVITY.HISTORY.SIM>SYSTEM.DATE",,
"AA.ACTIVITY.HISTORY.SIM>ACTIVITY.AMT",,
"AA.ACTIVITY.HISTORY.SIM>ACT.STATUS",,
"AA.ACTIVITY.HISTORY.SIM>INITIATION",,
"AA.ACTIVITY.HISTORY.SIM>ACT.DATE",,
"AA.ACTIVITY.HISTORY.SIM>LAST.HIST.COUNT",,
"AA.ACTIVITY.HISTORY.SIM>LAST.EFF.DATE",,
"AA.ACTIVITY.HISTORY.SIM>AGENT.EVENT.REF",,
"AA.ACTIVITY.HISTORY.SIM>AGENT.EVENT.STATUS",,
"AA.ACTIVITY.HISTORY.SIM>ARC.ID",,
"AA.ACTIVITY.HISTORY.SIM>ARC.DATE.TILL",,
"AA.ACTIVITY.HISTORY.SIM>CONTRACT.ID",,
"AA.ACTIVITY.HISTORY.SIM>REF.ACTIVITY.REF",,
"AA.ACTIVITY.HISTORY.SIM>BILL.ID",,
"AA.ACTIVITY.HISTORY.SIM>DD.REF.ID",,
"AA.ACTIVITY.HISTORY.SIM>TRANS.REF",,
"AA.ACTIVITY.HISTORY.SIM>AAA.ID",,
"AA.ACTIVITY.HISTORY.SIM>TRANSACTION.INITIATION",,
"AA.ACTIVITY.HISTORY.SIM>TRANS.INFO",,
"AA.ACTIVITY.HISTORY.SIM>SETTLEMENT.ARR.INFO",,
"AA.ACTIVITY.HISTORY.SIM>PAY.ORDER.REF",,
"AA.ACTIVITY.HISTORY.SIM>ACTIVITY.CON.REF",,
"AA.ACTIVITY.HISTORY.SIM>DAILY.CUMULATIVE",,
"AA.ACTIVITY.HISTORY.SIM>TOT.CUMULATIVE",,
"AA.ACTIVITY.HISTORY.SIM>USED.CONTEXT.TYPE",,
"AA.ACTIVITY.PROCESSING.CLASS>@ID",,
"AA.ACTIVITY.PROCESSING.CLASS>DESCRIPTION",,
"AA.ACTIVITY.PROCESSING.CLASS>FULL.DESC",,
"AA.ACTIVITY.PROCESSING.CLASS>TYPE",,
"AA.ACTIVITY.PROCESSING.CLASS>K.TYPE",,
"AA.ADVICE.CLASS>@ID",,
"AA.ADVICE.CLASS>DESCRIPTION",,
"AA.ADVICE.CLASS>FULL.DESC",,
"AA.ADVICE.CLASS>TYPE",,
"AA.ADVICE.CLASS>K.TYPE",,
"AA.ADVICE.TYPE>@ID",,
"AA.ADVICE.TYPE>DESCRIPTION",,
"AA.ADVICE.TYPE>CLASS.NAME",,
"AA.ADVICE.TYPE>STATUS",,
"AA.ADVICE.TYPE>AVAILABLE.DATE",,
"AA.ADVICE.TYPE>EXPIRY.DATE",,
"AA.ADVICE.TYPE>LAST.PUBLISHED",,
"AA.ADVICE.TYPE>ADVICE.APPLICATION.NAMES",,
"AA.ADVICE.TYPE>ADVICE.APPLICATION.IDS",,
"AA.ADVICE.TYPE.CATALOG>@ID",,
"AA.ADVICE.TYPE.CATALOG>DESCRIPTION",,
"AA.ADVICE.TYPE.CATALOG>FULL.DESC",,
"AA.ADVICE.TYPE.CATALOG>DOMAIN.TYPE|OA.DOMAIN.TYPE","type","strong"
"AA.ADVICE.TYPE.CATALOG>CLASS",,
"AA.ADVICE.TYPE.CATALOG>INSTANCE",,
"AA.ADVICE.TYPE.CATALOG>CONDITION",,
"AA.ADVICE.TYPE.CATALOG>CONDITION.VERSION",,
"AA.ADVICE.TYPE.CATALOG>ACTION",,
"AA.ADVICE.TYPE.CATALOG>EXPIRY.DATE",,
"AA.ADVICE.TYPE.CATALOG>PUBLISH.STATUS",,
"AA.ADVICE.TYPE.CATALOG>PUBLISH.ERROR",,
"AA.ADVICE.TYPE.CATALOG>ERROR.SUGGESTION",,
"AA.ADVICE.TYPE.CATALOG>CLASS.TYPE|AA.CLASS.TYPE","type","strong"
"AA.ADVICE.TYPE.CATALOG>REFERENCE",,
"AA.ADVICE.TYPE.CATALOG>VERSION",,
"AA.ADVICE.TYPE.CATALOG>VERSION.DATE",,
"AA.ADVICE.TYPE.CATALOG>COMMON.CLASS.TYPE|AA.CLASS.TYPE","type","strong"
"AA.ADVICE.TYPE.CATALOG>COMMON.CLASS",,
"AA.ADVICE.TYPE.CATALOG>COMMON.CLASS.CONDITION",,
"AA.ADVICE.TYPE.CATALOG>COMMON.CONDITION.VERSION",,
"AA.ADVICE.TYPE.CATALOG>SYNC.MAPPING|AA.MAPPING.TYPE","type","strong"
"AA.AGENT.COMMISSION.DETAILS>@ID",,
"AA.AGENT.COMMISSION.DETAILS>AGENT.EVENT",,
"AA.AGENT.COMMISSION.DETAILS>COMMISSION.NATURE",,
"AA.AGENT.COMMISSION.DETAILS>ARRANGEMENT",,
"AA.AGENT.COMMISSION.DETAILS>AMOUNT",,
"AA.AGENT.COMMISSION.DETAILS>MARGIN.AMOUNT",,
"AA.AGENT.COMMISSION.DETAILS>MARGIN.RATE",,
"AA.AGENT.COMMISSION.DETAILS>MARGIN.PERCENT",,
"AA.AGENT.COMMISSION.ONLINE.LIST>@ID",,
"AA.AGENT.COMMISSION.ONLINE.LIST>AA.AGENT.EVENT",,
"AA.AGENT.COMMISSION.ONLINE.WORK>@ID",,
"AA.AGENT.COMMISSION.ONLINE.WORK>AA.AGENT.EVENT",,
"AA.AGENT.CUSTOMER>@ID",,
"AA.AGENT.CUSTOMER>ARRANGEMENT|AA.ARRANGEMENT","type","strong"
"AA.AGENT.CUSTOMER>ACCRUAL.ID|EB.ACCRUAL","type","strong"
"AA.AGENT.EVENT>@ID|AA.ARRANGEMENT.ACTIVITY","type","strong"
"AA.AGENT.EVENT>ARRANGEMENT|AA.ARRANGEMENT","type","strong"
"AA.AGENT.EVENT>EVENT.ACTIVITY|AA.ACTIVITY","type","strong"
"AA.AGENT.EVENT>AGENT.ARR.ID|AA.ARRANGEMENT","type","strong"
"AA.AGENT.EVENT>AGENT.ACT.ID|AA.ARRANGEMENT.ACTIVITY","type","strong"
"AA.AGENT.EVENT>FIXED.AMOUNT",,
"AA.AGENT.EVENT>MARGIN",,
"AA.AGENT.EVENT>BASE.BALANCE",,
"AA.AGENT.EVENT>BASE.BALANCE.DATE",,
"AA.AGENT.EVENT>EVENT.TYPE",,
"AA.AGENT.EVENT>EVENT.FUNCTION",,
"AA.AGENT.EVENT>EVENT.STATUS",,
"AA.AGENT.EVENT>ERR.SOURCE",,
"AA.AGENT.EVENT>ERR.MESSAGE",,
"AA.AGENT.EVENT>AMORT.END.DATE",,
"AA.AGENT.EVENT>EFFECTIVE.DATE",,
"AA.AGENT.EVENT>FINANCIAL.CUSTOMER|CUSTOMER","type","strong"
"AA.AGENT.EVENT>RETRY.EVENT",,
"AA.AGENT.EVENT>CALC.AMOUNT",,
"AA.AGENT.EVENT>CONTEXT.NAME",,
"AA.AGENT.EVENT>CONTEXT.VALUE",,
"AA.AGENT.INTELLIGENCE>@ID|CUSTOMER","type","strong"
"AA.AGENT.INTELLIGENCE>NUM.DEALS",,
"AA.AGENT.INTELLIGENCE>MTD.PROFIT",,
"AA.AGENT.INTELLIGENCE>YTD.PROFIT",,
"AA.AGENT.INTELLIGENCE>MTD.COMMISSION",,
"AA.AGENT.INTELLIGENCE>YTD.COMMISSION",,
"AA.AGENT.INTELLIGENCE>TOTAL.ASSETS",,
"AA.AGENT.INTELLIGENCE>TOTAL.LIABILITIES",,
"AA.AGENT.SCHEDULE.DATES>@ID",,
"AA.AGENT.SCHEDULE.DATES>AAAID",,
"AA.AGENT.SCHEDULE.DATES>NEXT.SCHEDULE.DATE",,
"AA.API.CLASS>@ID",,
"AA.API.CLASS>DESCRIPTION",,
"AA.API.CLASS>FULL.DESC",,
"AA.API.CLASS>TYPE",,
"AA.API.CLASS>K.TYPE",,
"AA.ARR.AC.ACCT.GROUP.CONDN>@ID",,
"AA.ARR.AC.ACCT.GROUP.CONDN>ACTIVITY",,
"AA.ARR.AC.ACCT.GROUP.CONDN>ACTION",,
"AA.ARR.AC.ACCT.GROUP.CONDN>THRESHOLD",,
"AA.ARR.AC.ACCT.GROUP.CONDN>TXN.CODE.GRP|TRANSACTION","type","strong"
"AA.ARR.AC.ACCT.GROUP.CONDN>WAIVE.CR.INT",,
"AA.ARR.AC.ACCT.GROUP.CONDN>NO.VIOLATION",,
"AA.ARR.AC.ACCT.GROUP.CONDN>RETENTION.PERIOD",,
"AA.ARR.AC.ACCT.GROUP.CONDN>PREMIUM.TYPE|SAVINGS.PREMIUM","type","strong"
